date_time,day_of_week,time_of_day,region,channel,season,promo,reservation,party_size,price_level,seats_available,staffing_level,staffing_ratio,server_experience,kitchen_load,queue_length,order_complexity,ingredient_freshness,chef_experience,manager_on_duty,weather,cuisine,table_type,allergens_flag,customer_id,order_id,waiting_time,food_quality,service_quality,overall_satisfaction,wait_issue,low_food_quality,complaint,return_intent
1/1/2024 0:00,Mon,Lunch,Urban,Dine-In,Shoulder,0,0,3,33,57,8,1,3,70,16,4,54,4,D,Rain,Pasta,High-Top,0,1,100001,45,3,4,7,1,0,1,0
1/1/2024 0:30,Mon,Late Night,Suburban,Dine-In,Low,0,0,3,20,68,8,1,2,53,5,4,49,5,A,Cloudy,Sushi,Standard,0,2,100002,34,2,4,6,1,1,1,0
1/1/2024 1:00,Mon,Dinner,Suburban,Dine-In,High,1,1,3,29,45,7,2,3,84,14,4,64,4,C,Hot,Curry,Standard,0,3,100003,40,2,4,5,1,1,1,0
1/1/2024 1:30,Mon,Dinner,Suburban,Dine-In,High,1,0,3,36,43,7,2,1,97,16,4,47,3,A,Storm,Pasta,Booth,0,4,100004,49,2,4,6,1,1,1,0
1/1/2024 2:00,Mon,Lunch,Suburban,Takeaway,High,1,1,2,31,42,6,1,3,84,12,3,60,4,A,Rain,Pizza,Booth,1,5,100005,48,2,4,5,1,1,1,0
1/1/2024 2:30,Mon,Lunch,Urban,Dine-In,High,1,1,2,25,53,5,1,5,91,16,5,44,3,C,Rain,Pasta,Booth,0,6,100006,45,1,3,4,1,1,1,0
1/1/2024 3:00,Mon,Breakfast,Suburban,Delivery,Shoulder,0,0,2,22,52,9,2,3,62,8,4,70,5,B,Storm,Salads,Booth,0,7,100007,20,3,4,10,0,0,0,1
1/1/2024 3:30,Mon,Dinner,Urban,Dine-In,Low,0,0,4,30,59,5,1,2,97,14,3,54,5,B,Rain,Curry,Booth,0,8,100008,61,2,4,4,1,1,1,0
1/1/2024 4:00,Mon,Dinner,Urban,Dine-In,Low,0,0,3,26,50,7,1,2,92,14,4,53,4,C,Cloudy,Burgers,Standard,0,9,100009,57,2,4,4,1,1,1,0
1/1/2024 4:30,Mon,Dinner,Tourist,Takeaway,Low,0,0,1,27,44,6,1,2,87,13,4,56,5,B,Cloudy,Salads,Standard,0,10,100010,47,2,4,5,1,1,1,0
1/1/2024 5:00,Mon,Breakfast,Urban,Dine-In,Shoulder,0,1,3,22,54,8,1,2,53,7,3,70,5,D,Storm,Curry,Booth,0,11,100011,21,3,4,9,0,0,0,1
1/1/2024 5:30,Mon,Late Night,Urban,Dine-In,High,0,1,3,33,48,8,2,4,49,7,4,56,6,A,Cold,Burgers,High-Top,0,12,100012,16,3,4,9,0,0,0,1
1/1/2024 6:00,Mon,Dinner,Suburban,Delivery,High,0,0,3,29,44,7,2,3,100,9,4,55,4,A,Rain,Curry,High-Top,0,13,100013,59,2,4,4,1,1,1,0
1/1/2024 6:30,Mon,Lunch,Tourist,Takeaway,High,0,0,2,28,46,4,1,3,95,11,4,50,3,B,Cold,BBQ,Booth,0,14,100014,59,1,4,3,1,1,1,0
1/1/2024 7:00,Mon,Lunch,Suburban,Dine-In,Low,0,0,4,21,53,8,2,3,82,16,3,68,4,B,Rain,Pasta,Booth,0,15,100015,44,2,3,4,1,1,1,0
1/1/2024 7:30,Mon,Lunch,Urban,Takeaway,High,0,0,4,25,49,8,2,1,100,14,4,51,5,B,Hot,Sushi,Standard,0,16,100016,52,2,4,4,1,1,1,0
1/1/2024 8:00,Mon,Lunch,Urban,Dine-In,Shoulder,0,0,2,28,43,8,2,4,90,12,5,47,4,C,Rain,Pasta,High-Top,0,17,100017,54,2,5,6,1,1,1,0
1/1/2024 8:30,Mon,Afternoon,Suburban,Takeaway,Shoulder,1,0,3,25,50,9,2,4,48,10,2,55,4,D,Cloudy,Salads,Standard,0,18,100018,31,2,4,6,1,1,1,0
1/1/2024 9:00,Mon,Afternoon,Tourist,Takeaway,High,0,1,1,32,58,8,1,1,71,7,3,62,4,D,Clear,Curry,Patio,0,19,100019,29,3,4,7,1,0,1,0
1/1/2024 9:30,Mon,Lunch,Suburban,Dine-In,High,1,0,1,28,34,6,2,3,74,16,4,53,4,B,Clear,Curry,Standard,0,20,100020,46,3,5,6,1,0,1,0
1/1/2024 10:00,Mon,Dinner,Urban,Dine-In,High,1,0,2,32,47,7,1,4,83,12,4,64,3,C,Clear,Pizza,Patio,0,21,100021,46,2,4,5,1,1,1,0
1/1/2024 10:30,Mon,Breakfast,Urban,Dine-In,High,1,1,4,26,69,8,1,4,44,6,2,72,4,B,Clear,Pizza,Standard,0,22,100022,16,3,4,9,0,0,0,1
